       1    0.0000  +1.00000000  -0.00000000  +0.00000000  -0.00000000  +1.00000000  -0.00000000  -0.00000000  +0.00000000  +1.00000000  +0.00000000  +0.00000000  -0.00000000 
       2    0.7105  +0.99997592  -0.00236254  -0.00652851  +0.00238425  +0.99999166  +0.00331951  +0.00652061  -0.00333499  +0.99997318  +0.71031880  -0.27801719  -0.03806729 
       3    0.8365  +0.99993229  +0.00330020  -0.01115806  -0.00314894  +0.99990332  +0.01354580  +0.01120169  -0.01350975  +0.99984598  +0.85652316  -0.76789838  +0.34078193 
       4    0.8884  +0.99995708  -0.00427777  -0.00821667  +0.00447464  +0.99969971  +0.02409199  +0.00811114  -0.02412772  +0.99967599  +1.24014235  -1.79877162  +1.20218706 
       5    0.9442  +0.99983633  -0.01741679  +0.00489125  +0.01722901  +0.99919909  +0.03611638  -0.00551637  -0.03602620  +0.99933565  +1.23495340  -2.92753959  +2.64625096 
       6    0.9076  +0.99995035  -0.00494083  +0.00865267  +0.00466031  +0.99947232  +0.03214645  -0.00880693  -0.03210453  +0.99944574  +0.39955845  -1.96612620  +2.79582882 
       7    1.0951  +0.99999219  -0.00161260  +0.00360656  +0.00151080  +0.99960524  +0.02805462  -0.00365038  -0.02804895  +0.99959987  +0.43824580  -1.57441235  +2.38266206 
       8    1.1669  +0.99986571  +0.00688619  +0.01487195  -0.00732809  +0.99952704  +0.02986687  -0.01465925  -0.02997184  +0.99944323  -0.49318096  -1.22872365  +2.95997882 
       9    1.1129  +0.99985999  +0.01362587  +0.00971191  -0.01397391  +0.99922800  +0.03671766  -0.00920410  -0.03684824  +0.99927849  -0.66739804  -1.30991971  +2.94308043 
      10    1.1519  +0.99985749  +0.01447209  +0.00869089  -0.01478759  +0.99919069  +0.03740769  -0.00814249  -0.03753088  +0.99926227  -0.47058308  -1.26824379  +3.27044487 
      11    1.2164  +0.99972552  +0.02255217  +0.00634299  -0.02282080  +0.99867779  +0.04606396  -0.00529576  -0.04619607  +0.99891835  -0.64198565  -1.11417544  +3.55079007 
      12    1.2851  +0.99986154  +0.01638512  -0.00291213  -0.01616021  +0.99773687  +0.06526837  +0.00397497  -0.06521227  +0.99786347  +0.07627080  -2.47091603  +4.27057981 
      13    1.3036  +0.99970549  +0.02314185  +0.00730814  -0.02349459  +0.99834061  +0.05257362  -0.00607936  -0.05272984  +0.99859029  -0.88721830  -1.43336260  +4.17871046 
      14    1.2246  +0.99972504  +0.02005587  +0.01214692  -0.02056524  +0.99884731  +0.04337160  -0.01126307  -0.04360948  +0.99898517  -0.81475919  -1.06225753  +3.58243942 
      15    1.3491  +0.99954122  +0.02364334  +0.01893020  -0.02415442  +0.99933702  +0.02724042  -0.01827360  -0.02768517  +0.99944967  -1.59983087  -0.16732974  +3.27584100 
      16    1.4260  +0.99982709  +0.01570588  +0.00995493  -0.01580217  +0.99982840  +0.00966955  -0.00980136  -0.00982518  +0.99990368  -0.89644289  +0.24355784  +1.60155678 
      17    1.5292  +0.99995857  +0.00905784  +0.00089818  -0.00907584  +0.99970305  +0.02261412  -0.00069308  -0.02262133  +0.99974388  -0.01393901  -0.74163675  +1.61640084 
      18    1.4979  +0.99985403  +0.01570039  +0.00674137  -0.01575696  +0.99984038  +0.00842111  -0.00660807  -0.00852610  +0.99994183  -0.79967946  +0.64712697  +1.33840394 
      19    1.6695  +0.99989265  +0.00396573  +0.01410497  -0.00401208  +0.99998665  +0.00325927  -0.01409186  -0.00331551  +0.99989522  -0.61012834  +0.33214319  +1.83527339 
      20    1.6775  +0.99979842  +0.01328007  +0.01505989  -0.01313269  +0.99986529  -0.00984299  -0.01518857  +0.00964323  +0.99983817  -1.42101622  +1.51304042  +1.27195907 
      21    1.4152  +0.99972481  +0.00705657  +0.02237207  -0.00714448  +0.99996704  +0.00385190  -0.02234415  -0.00401068  +0.99974227  -1.70058155  +0.48315811  +2.50162649 
      22    1.4563  +0.99960476  +0.01098588  +0.02587621  -0.01177026  +0.99946976  +0.03035808  -0.02552898  -0.03065065  +0.99920410  -2.50612307  -0.89236283  +4.32849789 
      23    1.4473  +0.99955386  +0.01185552  +0.02741357  -0.01325260  +0.99859244  +0.05135620  -0.02676613  -0.05169659  +0.99830407  -2.59942579  -1.68520248  +5.59576273 
